Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FullTimeResult,HTHG,HTAG,HTR,Referee,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,HF,AF,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HR,AR,ResultCode,GoalDiff,TotalGoals,HomeForm,AwayForm,FormDiff
,Inter,Monza,0,1,A,0,0,D,,25,7,6,2,13,4,5,2,2,2,0,0,-1,-1,1,0.5,0.5,0.0
,Lecce,Sampdoria,1,1,D,1,0,H,,30,8,11,2,16,12,11,8,1,4,0,0,0,0,2,0.5,0.5,0.0
,Torino,Salernitana,1,1,D,0,1,A,,16,8,5,1,14,14,4,2,0,1,0,0,0,0,2,0.5,0.5,0.0
,Sassuolo,Juventus,1,0,H,0,0,D,,11,13,4,3,10,5,10,13,0,1,0,0,1,1,1,0.5,0.5,0.0
,Roma,Udinese,3,0,H,1,0,H,,12,10,7,2,18,11,6,2,1,4,0,0,1,3,3,0.5,0.5,0.0
,Fiorentina,Atalanta,1,1,D,0,1,A,,18,6,7,1,8,20,5,1,1,3,0,0,0,0,2,0.5,0.5,0.0
,Verona,Bologna,2,1,H,1,0,H,,9,17,5,7,11,11,4,2,2,4,0,0,1,1,3,0.5,0.5,0.0
,Salernitana,Sassuolo,3,0,H,2,0,H,,13,11,5,2,11,15,4,8,1,2,0,0,1,3,3,0.5,0.5,0.0
,Lazio,Torino,0,1,A,0,1,A,,10,7,5,3,13,13,3,4,2,4,0,0,-1,-1,1,0.5,0.5,0.0
,Sampdoria,Spezia,1,1,D,1,0,H,,13,19,3,7,9,11,9,9,1,1,0,0,0,0,2,0.5,0.5,0.0
,Empoli,Inter,0,3,A,0,0,D,,11,16,3,4,6,13,5,4,1,1,0,0,-1,-3,3,0.5,0.5,0.0
,Monza,Fiorentina,3,2,H,2,2,D,,13,10,5,5,18,15,5,3,3,3,0,0,1,1,5,0.5,0.5,0.0
,Udinese,Cremonese,3,0,H,3,0,H,,17,12,9,2,13,11,3,8,2,3,0,0,1,3,3,0.5,0.5,0.0
,Milan,Lecce,2,0,H,1,0,H,,8,9,5,4,6,10,4,2,1,0,0,0,1,2,2,0.5,0.5,0.0
,Juventus,Napoli,0,1,A,0,0,D,,7,17,4,6,15,11,3,6,4,1,0,0,-1,-1,1,0.5,0.5,0.0
,Atalanta,Roma,3,1,H,1,0,H,,7,14,4,1,15,11,3,4,3,1,0,0,1,2,4,0.5,0.5,0.0
,Lecce,Udinese,1,0,H,0,0,D,,15,10,3,3,21,12,7,4,4,2,0,0,1,1,1,0.5,0.5,0.0
,Spezia,Monza,0,2,A,0,1,A,,12,8,4,4,10,16,3,3,1,2,0,0,-1,-2,2,0.5,0.5,0.0
,Roma,Milan,1,1,D,0,0,D,,11,11,1,1,9,6,1,5,3,2,0,0,0,0,2,0.5,0.5,0.0
,Torino,Atalanta,1,2,A,0,1,A,,4,9,4,5,6,10,3,3,1,1,0,0,-1,-1,3,0.5,0.5,0.0
,Inter,Lazio,3,1,H,0,1,A,,25,9,9,5,13,14,2,3,2,3,0,0,1,2,4,0.5,0.5,0.0
,Cremonese,Verona,1,1,D,1,0,H,,12,14,5,6,10,16,3,5,0,0,1,0,0,0,2,0.5,0.5,0.0
,Napoli,Salernitana,1,1,D,0,0,D,,24,5,8,2,13,11,10,0,2,2,0,0,0,0,2,0.5,0.5,0.0
,Sassuolo,Empoli,2,1,H,0,1,A,,13,7,4,1,12,10,7,5,2,1,1,0,1,1,3,0.5,0.5,0.0
,Fiorentina,Sampdoria,5,0,H,1,0,H,,23,4,10,1,14,9,11,0,2,1,0,0,1,5,5,0.5,0.5,0.0
,Bologna,Juventus,1,1,D,1,0,H,,16,14,6,5,12,9,4,5,2,2,0,0,0,0,2,0.5,0.5,0.0
,Atalanta,Spezia,3,2,H,1,1,D,,14,9,6,4,8,10,12,3,0,3,0,0,1,1,5,0.5,0.5,0.0
,Juventus,Lecce,2,1,H,2,1,H,,16,14,4,5,11,10,6,7,2,2,0,0,1,1,3,0.5,0.5,0.0
,Salernitana,Fiorentina,3,3,D,1,1,D,,4,12,3,3,18,15,2,3,3,5,0,0,0,0,6,0.5,0.5,0.0
,Sampdoria,Torino,0,2,A,0,1,A,,7,12,0,4,13,11,2,3,3,2,1,0,-1,-2,2,0.5,0.5,0.0
,Lazio,Sassuolo,2,0,H,1,0,H,,13,13,5,2,13,13,1,2,3,5,0,0,1,2,2,0.5,0.5,0.0
,Milan,Cremonese,1,1,D,0,0,D,,18,6,5,2,12,12,10,0,0,3,0,1,0,0,2,0.5,0.5,0.0
,Monza,Roma,1,1,D,1,1,D,,8,14,4,8,13,15,4,3,3,4,0,1,0,0,2,0.5,0.5,0.0
,Verona,Inter,0,6,A,0,3,A,,7,20,2,10,4,11,2,7,0,0,0,0,-1,-6,6,0.5,0.5,0.0
,Empoli,Bologna,3,1,H,2,0,H,,13,18,3,3,15,16,2,5,3,0,0,0,1,2,4,0.5,0.5,0.0
,Udinese,Napoli,1,1,D,1,0,H,,7,7,3,4,15,13,2,6,1,0,0,0,0,0,2,0.5,0.5,0.0
,Milan,Lazio,2,0,H,2,0,H,,10,8,3,0,10,8,6,4,2,4,0,0,1,2,2,0.5,0.5,0.0
,Roma,Inter,0,2,A,0,1,A,,15,10,3,4,8,12,12,5,3,2,0,0,-1,-2,2,0.5,0.5,0.0
,Cremonese,Spezia,2,0,H,1,0,H,,9,18,4,8,9,6,3,13,0,2,0,0,1,2,2,0.5,0.5,0.0
,Atalanta,Juventus,0,2,A,0,0,D,,24,10,1,5,13,16,7,3,1,2,0,0,-1,-2,2,0.5,0.5,0.0
,Torino,Monza,1,1,D,0,0,D,,14,10,5,8,16,9,7,4,2,1,0,0,0,0,2,0.5,0.5,0.0
,Napoli,Fiorentina,1,0,H,0,0,D,,10,15,3,3,12,15,0,5,0,0,0,0,1,1,1,0.5,0.5,0.0
,Lecce,Verona,0,1,A,0,0,D,,15,9,2,3,11,13,4,4,2,5,0,0,-1,-1,1,0.5,0.5,0.0
,Empoli,Salernitana,2,1,H,1,0,H,,11,13,4,2,10,18,8,7,2,2,0,0,1,1,3,0.5,0.5,0.0
,Udinese,Sampdoria,2,0,H,2,0,H,,13,11,6,3,15,12,7,3,2,2,0,0,1,2,2,0.5,0.5,0.0
,Sassuolo,Bologna,1,1,D,1,1,D,,6,12,2,3,12,14,4,4,1,1,0,0,0,0,2,0.5,0.5,0.0
,Lazio,Lecce,2,2,D,1,1,D,,20,13,6,4,11,13,2,3,3,5,0,0,0,0,4,0.5,0.5,0.0
,Salernitana,Atalanta,1,0,H,0,0,D,,10,13,4,3,9,18,5,3,2,2,0,0,1,1,1,0.5,0.5,0.0
,Spezia,Milan,2,0,H,0,0,D,,14,14,4,3,15,11,6,9,1,1,0,0,1,2,2,0.5,0.5,0.0
,Inter,Sassuolo,4,2,H,1,0,H,,11,16,3,5,12,8,1,5,2,3,0,0,1,2,6,0.5,0.5,0.0
,Verona,Torino,0,1,A,0,1,A,,14,15,4,8,8,17,3,4,3,2,0,0,-1,-1,1,0.5,0.5,0.0
,Fiorentina,Udinese,2,0,H,1,0,H,,18,5,3,1,15,15,3,3,3,3,1,1,1,2,2,0.5,0.5,0.0
,Monza,Napoli,2,0,H,1,0,H,,10,20,4,7,11,13,6,10,1,1,0,0,1,2,2,0.5,0.5,0.0
,Bologna,Roma,0,0,D,0,0,D,,12,7,3,2,12,11,3,6,2,1,0,0,0,0,0,0.5,0.5,0.0
,Juventus,Cremonese,2,0,H,0,0,D,,24,3,7,2,15,5,7,0,2,0,0,0,1,2,2,0.5,0.5,0.0
,Sampdoria,Empoli,1,1,D,1,0,H,,13,16,3,4,16,14,1,2,3,4,0,0,0,0,2,0.5,0.5,0.0
,Sassuolo,Monza,1,2,A,1,0,H,,13,16,4,5,10,17,6,3,2,5,1,0,-1,-1,3,0.5,0.5,0.0
,Cremonese,Bologna,1,5,A,0,3,A,,13,19,2,9,7,13,3,9,1,2,0,1,-1,-4,6,0.5,0.5,0.0
,Atalanta,Verona,3,1,H,1,1,D,,13,10,5,2,9,11,6,3,1,3,0,0,1,2,4,0.5,0.5,0.0
,Milan,Sampdoria,5,1,H,3,1,H,,19,6,9,3,9,10,7,2,1,3,0,0,1,4,6,0.5,0.5,0.0
,Lecce,Spezia,0,0,D,0,0,D,,6,14,1,0,15,16,2,5,2,3,0,0,0,0,0,0.5,0.5,0.0
,Torino,Fiorentina,1,1,D,0,0,D,,10,8,4,1,9,11,3,3,1,2,0,0,0,0,2,0.5,0.5,0.0
,Napoli,Inter,3,1,H,0,0,D,,22,6,9,2,10,14,4,1,1,2,0,1,1,2,4,0.5,0.5,0.0
,Udinese,Lazio,0,1,A,0,0,D,,12,14,2,4,15,9,3,8,3,1,0,0,-1,-1,1,0.5,0.5,0.0
,Roma,Salernitana,2,2,D,0,1,A,,22,8,5,3,9,14,6,4,1,4,0,0,0,0,4,0.5,0.5,0.0
,Empoli,Juventus,4,1,H,2,0,H,,14,19,7,4,20,19,3,7,2,2,0,0,1,3,5,0.5,0.5,0.0
,Sampdoria,Sassuolo,2,2,D,1,2,A,,17,22,3,8,14,10,8,4,1,2,0,0,0,0,4,0.5,0.5,0.0
,Salernitana,Udinese,3,2,H,1,2,A,,11,10,3,4,12,22,2,1,3,3,0,1,1,1,5,0.5,0.5,0.0
,Spezia,Torino,0,4,A,0,1,A,,8,11,1,4,14,13,5,2,2,2,0,0,-1,-4,4,0.5,0.5,0.0
,Fiorentina,Roma,2,1,H,0,1,A,,15,8,5,4,11,12,7,4,5,3,0,0,1,1,3,0.5,0.5,0.0
,Inter,Atalanta,3,2,H,2,1,H,,20,11,11,3,8,18,9,7,0,1,0,0,1,1,5,0.5,0.5,0.0
,Verona,Empoli,1,1,D,0,0,D,,13,13,4,3,14,10,3,3,4,0,0,0,0,0,2,0.5,0.5,0.0
,Bologna,Napoli,2,2,D,0,1,A,,18,11,6,8,17,10,4,4,1,3,0,0,0,0,4,0.5,0.5,0.0
,Monza,Lecce,0,1,A,0,0,D,,5,9,1,1,11,20,1,3,2,3,0,0,-1,-1,1,0.5,0.5,0.0
,Lazio,Cremonese,3,2,H,2,0,H,,12,11,8,5,15,8,4,3,2,2,1,0,1,1,5,0.5,0.5,0.0
,Juventus,Milan,0,1,A,0,1,A,,16,9,3,3,12,10,4,5,1,2,0,0,-1,-1,1,0.5,0.5,0.0
,Sassuolo,Fiorentina,1,3,A,0,0,D,,5,15,2,7,7,15,2,4,4,4,2,0,-1,-2,4,0.5,0.5,0.0
,Torino,Inter,0,1,A,0,1,A,,17,14,5,4,6,7,6,4,1,2,0,0,-1,-1,1,0.5,0.5,0.0
,Cremonese,Salernitana,2,0,H,1,0,H,,12,11,4,1,15,12,4,6,1,2,0,0,1,2,2,0.5,0.5,0.0
,Empoli,Lazio,0,2,A,0,0,D,,7,21,1,11,7,10,6,7,3,2,1,0,-1,-2,2,0.5,0.5,0.0
,Napoli,Sampdoria,2,0,H,0,0,D,,21,6,9,4,7,7,11,0,0,1,0,0,1,2,2,0.5,0.5,0.0
,Atalanta,Monza,5,2,H,2,0,H,,20,8,10,4,13,8,5,1,1,2,0,1,1,3,7,0.5,0.5,0.0
,Lecce,Bologna,2,3,A,1,0,H,,20,11,7,7,11,9,7,2,1,3,0,0,-1,-1,5,0.5,0.5,0.0
,Milan,Verona,3,1,H,1,0,H,,14,6,5,1,5,18,7,1,1,4,0,0,1,2,4,0.5,0.5,0.0
,Roma,Spezia,2,1,H,1,1,D,,19,8,5,2,14,17,6,2,2,8,0,1,1,1,3,0.5,0.5,0.0
,Udinese,Juventus,0,1,A,0,0,D,,13,20,3,5,9,11,6,14,2,2,0,0,-1,-1,1,0.5,0.5,0.0
,Ein Frankfurt,Bayern Munich,1,6,A,0,5,A,,8,23,2,10,10,11,5,6,2,0,0,0,-1,-5,7,0.5,0.5,0.0
,Augsburg,Freiburg,0,4,A,0,0,D,,10,19,2,7,13,13,5,8,0,0,0,0,-1,-4,4,0.5,0.5,0.0
,Bochum,Mainz,1,2,A,1,1,D,,16,13,3,6,11,16,3,5,2,3,0,0,-1,-1,3,0.5,0.5,0.0
,M'gladbach,Hoffenheim,3,1,H,1,1,D,,18,2,8,1,18,12,4,2,1,4,0,1,1,2,4,0.5,0.5,0.0
,Union Berlin,Hertha,3,1,H,1,0,H,,18,9,8,3,23,17,5,4,2,3,0,0,1,2,4,0.5,0.5,0.0
,Wolfsburg,Werder Bremen,2,2,D,1,2,A,,13,10,3,5,11,14,2,5,2,2,0,0,0,0,4,0.5,0.5,0.0
,Dortmund,Leverkusen,1,0,H,1,0,H,,13,8,4,3,14,13,3,3,2,4,0,1,1,1,1,0.5,0.5,0.0
,Stuttgart,RB Leipzig,1,1,D,1,1,D,,11,27,2,9,14,9,1,9,2,1,0,0,0,0,2,0.5,0.5,0.0
,FC Koln,Schalke 04,3,1,H,0,0,D,,30,6,10,2,8,10,9,1,0,1,0,1,1,2,4,0.5,0.5,0.0
,Freiburg,Dortmund,1,3,A,1,0,H,,16,16,7,7,16,10,9,2,1,3,0,0,-1,-2,4,0.5,0.5,0.0
,Hertha,Ein Frankfurt,1,1,D,1,0,H,,11,11,5,1,11,11,4,5,3,1,0,0,0,0,2,0.5,0.5,0.0
,Hoffenheim,Bochum,3,2,H,2,2,D,,24,11,13,5,13,10,8,2,1,1,0,0,1,1,5,0.5,0.5,0.0
,Leverkusen,Augsburg,1,2,A,1,1,D,,23,6,10,4,7,16,7,3,1,6,0,0,-1,-1,3,0.5,0.5,0.0
,RB Leipzig,FC Koln,2,2,D,1,1,D,,9,12,5,3,8,18,2,7,1,4,1,0,0,0,4,0.5,0.5,0.0
,Werder Bremen,Stuttgart,2,2,D,1,1,D,,5,14,3,7,6,10,2,5,4,2,0,0,0,0,4,0.5,0.5,0.0
,Schalke 04,M'gladbach,2,2,D,1,0,H,,14,14,5,9,12,8,2,7,4,2,0,0,0,0,4,0.5,0.5,0.0
,Mainz,Union Berlin,0,0,D,0,0,D,,10,10,5,2,9,14,4,4,1,0,0,0,0,0,0,0.5,0.5,0.0
,Bayern Munich,Wolfsburg,2,0,H,2,0,H,,24,7,8,1,7,10,8,4,2,1,0,0,1,2,2,0.5,0.5,0.0
,M'gladbach,Hertha,1,0,H,1,0,H,,11,18,6,5,7,11,5,5,1,2,0,1,1,1,1,0.5,0.5,0.0
,Augsburg,Mainz,1,2,A,1,1,D,,6,14,2,7,13,19,3,3,2,2,0,0,-1,-1,3,0.5,0.5,0.0
,Dortmund,Werder Bremen,2,3,A,1,0,H,,5,14,3,7,13,9,3,5,4,1,0,0,-1,-1,5,0.5,0.5,0.0
,Leverkusen,Hoffenheim,0,3,A,0,2,A,,14,10,3,5,15,18,3,1,1,4,0,0,-1,-3,3,0.5,0.5,0.0
,Stuttgart,Freiburg,0,1,A,0,1,A,,18,9,5,3,8,12,3,1,4,2,0,0,-1,-1,1,0.5,0.5,0.0
,Wolfsburg,Schalke 04,0,0,D,0,0,D,,16,9,6,2,13,10,12,4,1,3,0,0,0,0,0,0.5,0.5,0.0
,Union Berlin,RB Leipzig,2,1,H,2,0,H,,9,16,4,2,14,8,1,13,2,1,0,0,1,1,3,0.5,0.5,0.0
,Ein Frankfurt,FC Koln,1,1,D,0,0,D,,10,6,3,2,15,11,5,9,0,1,0,0,0,0,2,0.5,0.5,0.0
,Bochum,Bayern Munich,0,7,A,0,4,A,,13,22,7,12,10,6,5,5,1,0,0,0,-1,-7,7,0.5,0.5,0.0
,Freiburg,Bochum,1,0,H,0,0,D,,28,15,12,5,15,13,2,5,2,2,0,0,1,1,1,0.5,0.5,0.0
,Hertha,Dortmund,0,1,A,0,1,A,,12,24,3,7,8,9,6,10,1,0,0,0,-1,-1,1,0.5,0.5,0.0
,Hoffenheim,Augsburg,1,0,H,1,0,H,,24,12,6,1,14,9,4,6,1,1,0,0,1,1,1,0.5,0.5,0.0
,Mainz,Leverkusen,0,3,A,0,3,A,,17,7,3,5,10,12,3,4,1,6,0,2,-1,-3,3,0.5,0.5,0.0
,RB Leipzig,Wolfsburg,2,0,H,1,0,H,,16,9,7,4,20,15,8,4,3,3,0,0,1,2,2,0.5,0.5,0.0
,Schalke 04,Union Berlin,1,6,A,1,3,A,,12,12,4,7,9,11,8,2,1,0,0,0,-1,-5,7,0.5,0.5,0.0
,Bayern Munich,M'gladbach,1,1,D,0,1,A,,35,5,20,3,14,7,14,1,4,2,0,0,0,0,2,0.5,0.5,0.0
,FC Koln,Stuttgart,0,0,D,0,0,D,,6,13,2,5,14,12,6,8,2,2,0,1,0,0,0,0.5,0.5,0.0
,Werder Bremen,Ein Frankfurt,3,4,A,2,3,A,,10,12,4,7,17,17,5,7,1,3,0,0,-1,-1,7,0.5,0.5,0.0
,Dortmund,Hoffenheim,1,0,H,1,0,H,,16,7,5,2,14,15,5,8,3,4,0,0,1,1,1,0.5,0.5,0.0
,Bochum,Werder Bremen,0,2,A,0,0,D,,19,16,6,6,15,10,7,3,2,2,0,0,-1,-2,2,0.5,0.5,0.0
,Leverkusen,Freiburg,2,3,A,1,0,H,,15,5,6,3,15,10,8,4,2,2,0,0,-1,-1,5,0.5,0.5,0.0
,Stuttgart,Schalke 04,1,1,D,1,1,D,,13,13,3,4,11,10,5,7,4,2,1,0,0,0,2,0.5,0.5,0.0
,Union Berlin,Bayern Munich,1,1,D,1,1,D,,10,21,3,6,19,7,5,7,1,2,0,0,0,0,2,0.5,0.5,0.0
,Wolfsburg,FC Koln,2,4,A,1,3,A,,9,18,3,5,13,14,5,4,2,1,0,0,-1,-2,6,0.5,0.5,0.0
,Ein Frankfurt,RB Leipzig,4,0,H,2,0,H,,14,5,9,0,14,10,4,3,1,1,0,0,1,4,4,0.5,0.5,0.0
,Augsburg,Hertha,0,2,A,0,0,D,,8,16,2,6,12,15,5,1,2,1,0,0,-1,-2,2,0.5,0.5,0.0
,M'gladbach,Mainz,0,1,A,0,0,D,,13,12,3,5,8,15,4,8,1,4,1,0,-1,-1,1,0.5,0.5,0.0
,Werder Bremen,Augsburg,0,1,A,0,0,D,,11,14,6,5,12,12,3,7,4,5,0,0,-1,-1,1,0.5,0.5,0.0
,Bayern Munich,Stuttgart,2,2,D,1,0,H,,18,8,7,3,11,9,3,0,2,5,0,0,0,0,4,0.5,0.5,0.0
,Ein Frankfurt,Wolfsburg,0,1,A,0,0,D,,11,6,0,3,16,13,10,5,2,4,0,0,-1,-1,1,0.5,0.5,0.0
,Hertha,Leverkusen,2,2,D,0,0,D,,17,11,6,5,15,16,3,5,3,1,0,0,0,0,4,0.5,0.5,0.0
,Hoffenheim,Mainz,4,1,H,0,0,D,,21,10,9,2,9,13,7,5,3,2,0,1,1,3,5,0.5,0.5,0.0
,RB Leipzig,Dortmund,3,0,H,2,0,H,,14,4,5,0,12,6,5,8,2,1,0,0,1,3,3,0.5,0.5,0.0
,Schalke 04,Bochum,3,1,H,1,0,H,,20,9,8,2,12,16,3,8,2,3,0,0,1,2,4,0.5,0.5,0.0
,FC Koln,Union Berlin,0,1,A,0,1,A,,7,12,2,3,15,12,7,8,4,1,1,0,-1,-1,1,0.5,0.5,0.0
,Freiburg,M'gladbach,0,0,D,0,0,D,,13,14,8,5,13,6,7,6,1,1,0,0,0,0,0,0.5,0.5,0.0
,Mainz,Hertha,1,1,D,0,1,A,,12,4,2,2,12,10,4,3,3,5,0,0,0,0,2,0.5,0.5,0.0
,Augsburg,Bayern Munich,1,0,H,0,0,D,,9,21,4,7,16,9,2,8,3,1,0,0,1,1,1,0.5,0.5,0.0
,Dortmund,Schalke 04,1,0,H,0,0,D,,19,3,7,0,12,14,11,2,3,2,0,0,1,1,1,0.5,0.5,0.0
,Leverkusen,Werder Bremen,1,1,D,0,0,D,,19,19,7,7,5,14,9,6,2,3,0,0,0,0,2,0.5,0.5,0.0
,Stuttgart,Ein Frankfurt,1,3,A,0,1,A,,15,13,2,8,9,11,7,4,2,0,0,0,-1,-2,4,0.5,0.5,0.0
,M'gladbach,RB Leipzig,3,0,H,2,0,H,,21,13,10,6,14,14,8,3,2,2,0,0,1,3,3,0.5,0.5,0.0
,Union Berlin,Wolfsburg,2,0,H,0,0,D,,16,5,4,0,18,6,4,1,0,0,0,0,1,2,2,0.5,0.5,0.0
,Bochum,FC Koln,1,1,D,1,0,H,,7,18,0,3,12,8,4,8,0,1,0,0,0,0,2,0.5,0.5,0.0
,Hoffenheim,Freiburg,0,0,D,0,0,D,,10,14,3,4,15,9,5,3,1,2,0,0,0,0,0,0.5,0.5,0.0
,Bayern Munich,Leverkusen,4,0,H,3,0,H,,20,10,10,5,10,6,6,2,0,0,0,0,1,4,4,0.5,0.5,0.0
,Ein Frankfurt,Union Berlin,2,0,H,2,0,H,,14,14,4,5,4,11,4,7,3,4,1,0,1,2,2,0.5,0.5,0.0
,FC Koln,Dortmund,3,2,H,0,1,A,,20,21,16,13,14,10,7,11,4,3,0,0,1,1,5,0.5,0.5,0.0
,Freiburg,Mainz,2,1,H,2,0,H,,13,17,6,7,9,15,5,5,2,4,0,0,1,1,3,0.5,0.5,0.0
,RB Leipzig,Bochum,4,0,H,2,0,H,,17,2,9,1,8,8,7,2,0,2,0,0,1,4,4,0.5,0.5,0.0
,Wolfsburg,Stuttgart,3,2,H,2,2,D,,20,15,7,7,16,14,8,5,3,5,0,0,1,1,5,0.5,0.5,0.0
,Werder Bremen,M'gladbach,5,1,H,4,0,H,,14,13,9,9,8,8,4,5,0,1,0,0,1,4,6,0.5,0.5,0.0
,Hertha,Hoffenheim,1,1,D,1,1,D,,13,16,5,4,5,15,2,6,2,1,0,0,0,0,2,0.5,0.5,0.0
,Schalke 04,Augsburg,2,3,A,1,2,A,,16,11,5,5,11,10,8,4,2,6,0,1,-1,-1,5,0.5,0.5,0.0
,Hoffenheim,Werder Bremen,1,2,A,1,1,D,,16,8,6,3,12,18,3,3,3,3,0,0,-1,-1,3,0.5,0.5,0.0
,Augsburg,Wolfsburg,1,1,D,0,1,A,,18,12,5,7,19,11,11,5,5,3,0,0,0,0,2,0.5,0.5,0.0
,Bochum,Ein Frankfurt,3,0,H,0,0,D,,11,11,6,2,12,10,9,4,2,1,0,0,1,3,3,0.5,0.5,0.0
,Leverkusen,Schalke 04,4,0,H,2,0,H,,13,2,7,1,9,17,3,3,1,1,0,0,1,4,4,0.5,0.5,0.0
,Mainz,RB Leipzig,1,1,D,1,0,H,,9,12,3,3,12,12,4,2,1,1,0,0,0,0,2,0.5,0.5,0.0
,Dortmund,Bayern Munich,2,2,D,0,1,A,,13,9,6,3,8,11,7,4,3,6,0,1,0,0,4,0.5,0.5,0.0
,M'gladbach,FC Koln,5,2,H,2,1,H,,13,5,6,3,8,14,7,4,2,3,0,1,1,3,7,0.5,0.5,0.0
,Hertha,Freiburg,2,2,D,1,1,D,,11,10,3,4,14,13,4,2,2,1,0,0,0,0,4,0.5,0.5,0.0
,Stuttgart,Union Berlin,0,1,A,0,0,D,,9,7,3,4,12,10,2,5,3,3,1,0,-1,-1,1,0.5,0.5,0.0
,Schalke 04,Hoffenheim,0,3,A,0,2,A,,14,18,2,7,12,8,4,5,2,2,0,0,-1,-3,3,0.5,0.5,0.0
,Ein Frankfurt,Leverkusen,5,1,H,1,0,H,,20,5,11,2,10,9,7,1,0,4,0,1,1,4,6,0.5,0.5,0.0
,Stuttgart,Bochum,4,1,H,2,1,H,,16,14,7,4,6,17,3,3,0,3,0,0,1,3,5,0.5,0.5,0.0
,Werder Bremen,Mainz,0,2,A,0,1,A,,14,11,4,5,3,11,3,3,1,2,0,0,-1,-2,2,0.5,0.5,0.0
,Wolfsburg,M'gladbach,2,2,D,1,1,D,,16,10,4,5,13,11,7,6,3,3,0,0,0,0,4,0.5,0.5,0.0
,RB Leipzig,Hertha,3,2,H,3,0,H,,14,16,5,5,17,9,8,4,2,3,0,0,1,1,5,0.5,0.5,0.0
,FC Koln,Augsburg,3,2,H,0,1,A,,14,7,6,3,11,15,5,3,2,4,0,0,1,1,5,0.5,0.5,0.0
,Union Berlin,Dortmund,2,0,H,2,0,H,,14,13,5,6,15,5,5,8,1,2,0,0,1,2,2,0.5,0.5,0.0
,Bayern Munich,Freiburg,5,0,H,2,0,H,,18,6,8,0,8,9,5,5,0,2,0,0,1,5,5,0.5,0.5,0.0
,Mainz,FC Koln,5,0,H,3,0,H,,15,6,7,2,13,14,5,4,1,5,0,1,1,5,5,0.5,0.5,0.0
,Augsburg,RB Leipzig,3,3,D,1,0,H,,11,19,3,8,15,11,3,6,7,1,1,0,0,0,6,0.5,0.5,0.0
,Dortmund,Stuttgart,5,0,H,3,0,H,,19,10,10,1,7,8,9,2,1,0,0,0,1,5,5,0.5,0.5,0.0
,Freiburg,Werder Bremen,2,0,H,0,0,D,,25,10,7,2,14,12,6,2,2,2,0,1,1,2,2,0.5,0.5,0.0
,Hoffenheim,Bayern Munich,0,2,A,0,2,A,,7,23,3,10,12,8,7,5,3,2,0,0,-1,-2,2,0.5,0.5,0.0
,Leverkusen,Wolfsburg,2,2,D,1,1,D,,13,9,5,3,19,5,3,3,3,1,0,0,0,0,4,0.5,0.5,0.0
,M'gladbach,Ein Frankfurt,1,3,A,0,3,A,,8,16,3,5,9,20,3,2,3,2,0,0,-1,-2,4,0.5,0.5,0.0
,Bochum,Union Berlin,2,1,H,1,0,H,,8,6,5,3,14,10,3,7,1,3,0,0,1,1,3,0.5,0.5,0.0
,Hertha,Schalke 04,2,1,H,0,0,D,,11,9,4,2,14,14,5,6,5,1,0,0,1,1,3,0.5,0.5,0.0
,Werder Bremen,Hertha,1,0,H,0,0,D,,15,9,4,1,14,11,4,5,2,3,0,0,1,1,1,0.5,0.5,0.0
,Bayern Munich,Mainz,6,2,H,3,1,H,,25,13,12,5,10,11,8,5,1,1,0,0,1,4,8,0.5,0.5,0.0
,RB Leipzig,Leverkusen,2,0,H,1,0,H,,10,4,6,1,9,7,3,3,3,3,0,0,1,2,2,0.5,0.5,0.0
,Stuttgart,Augsburg,2,1,H,1,1,D,,31,12,8,6,7,12,10,3,1,2,0,0,1,1,3,0.5,0.5,0.0
,Wolfsburg,Bochum,4,0,H,2,0,H,,22,10,7,3,7,17,7,2,1,1,0,0,1,4,4,0.5,0.5,0.0
,Ein Frankfurt,Dortmund,1,2,A,1,1,D,,20,8,8,2,15,11,4,3,5,5,0,0,-1,-1,3,0.5,0.5,0.0
,Union Berlin,M'gladbach,2,1,H,0,1,A,,14,7,5,3,17,6,6,5,3,2,0,0,1,1,3,0.5,0.5,0.0
,Schalke 04,Freiburg,0,2,A,0,1,A,,12,19,3,9,20,7,4,8,3,2,0,0,-1,-2,2,0.5,0.5,0.0
,FC Koln,Hoffenheim,1,1,D,1,1,D,,11,9,3,4,11,10,5,4,1,2,0,1,0,0,2,0.5,0.5,0.0
,M'gladbach,Stuttgart,3,1,H,2,1,H,,11,13,6,4,13,16,3,5,2,1,0,0,1,2,4,0.5,0.5,0.0
,Augsburg,Ein Frankfurt,1,2,A,1,1,D,,9,12,5,7,17,15,3,6,0,1,0,0,-1,-1,3,0.5,0.5,0.0
,Dortmund,Bochum,3,0,H,3,0,H,,6,7,3,1,7,14,2,5,1,1,0,0,1,3,3,0.5,0.5,0.0
,Hertha,Bayern Munich,2,3,A,2,3,A,,7,14,5,4,13,9,2,7,0,0,0,0,-1,-1,5,0.5,0.5,0.0
,Hoffenheim,RB Leipzig,1,3,A,0,1,A,,11,17,3,8,9,9,6,3,4,2,0,0,-1,-2,4,0.5,0.5,0.0
,Mainz,Wolfsburg,0,3,A,0,1,A,,16,10,3,3,15,6,9,4,1,1,0,0,-1,-3,3,0.5,0.5,0.0
