Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FullTimeResult,HTHG,HTAG,HTR,Referee,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,HF,AF,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HR,AR,ResultCode,GoalDiff,TotalGoals,HomeForm,AwayForm,FormDiff
,Salernitana,Empoli,2,2,D,1,1,D,,15,11,4,5,7,9,6,7,3,2,0,0,0,0,4,0.5,0.5,0.0
,Torino,Lecce,1,0,H,1,0,H,,13,10,4,2,16,8,4,4,2,1,0,0,1,1,1,0.5,0.5,0.0
,Napoli,Spezia,1,0,H,0,0,D,,28,10,6,1,6,14,10,5,1,2,0,0,1,1,1,0.5,0.5,0.0
,Inter,Torino,1,0,H,0,0,D,,16,9,3,7,8,17,6,5,1,2,0,0,1,1,1,0.5,0.5,0.0
,Sampdoria,Milan,1,2,A,0,1,A,,10,15,4,4,12,10,2,4,5,2,0,1,-1,-1,3,0.5,0.5,0.0
,Atalanta,Cremonese,1,1,D,0,0,D,,14,7,6,4,9,17,3,3,2,5,0,0,0,0,2,0.5,0.5,0.0
,Bologna,Fiorentina,2,1,H,0,0,D,,12,13,4,2,8,13,6,8,1,4,0,1,1,1,3,0.5,0.5,0.0
,Lecce,Monza,1,1,D,0,1,A,,7,2,3,1,18,22,8,5,3,3,0,0,0,0,2,0.5,0.5,0.0
,Sassuolo,Udinese,1,3,A,1,0,H,,5,17,2,4,7,15,5,6,1,3,1,0,-1,-2,4,0.5,0.5,0.0
,Lazio,Verona,2,0,H,0,0,D,,15,7,6,1,5,23,3,5,2,5,0,0,1,2,2,0.5,0.5,0.0
,Juventus,Salernitana,2,2,D,0,2,A,,22,11,7,5,13,15,8,2,5,4,2,1,0,0,4,0.5,0.5,0.0
,Empoli,Roma,1,2,A,1,1,D,,20,13,3,7,13,12,7,7,3,1,1,0,-1,-1,3,0.5,0.5,0.0
,Salernitana,Lecce,1,2,A,0,1,A,,8,13,4,4,9,11,4,5,1,3,0,0,-1,-1,3,0.5,0.5,0.0
,Bologna,Empoli,0,1,A,0,0,D,,16,12,3,5,11,16,5,8,2,3,0,0,-1,-1,1,0.5,0.5,0.0
,Spezia,Sampdoria,2,1,H,1,1,D,,6,11,3,8,17,14,3,6,4,5,0,0,1,1,3,0.5,0.5,0.0
,Torino,Sassuolo,0,1,A,0,0,D,,12,10,3,5,13,7,4,3,4,1,0,0,-1,-1,1,0.5,0.5,0.0
,Udinese,Inter,3,1,H,1,1,D,,20,14,6,3,11,13,7,4,3,4,0,0,1,2,4,0.5,0.5,0.0
,Cremonese,Lazio,0,4,A,0,3,A,,18,14,3,6,12,9,8,5,1,1,0,0,-1,-4,4,0.5,0.5,0.0
