Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,FullTimeResult,HT_HomeGoals,HT_AwayGoals,HalfTimeResult,Referee,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,ResultCode,GoalDiff,TotalGoals,ShotDiff,ShotOnTargetDiff,CornerDiff,YellowCardDiff,RedCardDiff,FoulDiff,Month,MonthName
2022-08-13,Wolves,Fulham,0,0,D,0,0,D,J Brooks,7,9,1,3,7,14,5,3,3,3,0,0,0,0,0,-2,-2,2,0,0,-7,8,Aug
2022-08-13,Brentford,Man United,4,0,H,4,0,H,S Attwell,13,15,7,4,6,15,8,2,0,4,0,0,1,4,4,-2,3,6,-4,0,-9,8,Aug
2022-08-14,Nott'm Forest,West Ham,1,0,H,1,0,H,R Jones,13,19,6,5,10,11,6,7,4,1,0,0,1,1,1,-6,1,-1,3,0,-1,8,Aug
2022-08-14,Chelsea,Tottenham,2,2,D,1,0,H,A Taylor,16,10,3,5,9,9,8,5,3,0,0,0,0,0,4,6,-2,3,3,0,0,8,Aug
2022-08-15,Liverpool,Crystal Palace,1,1,D,0,1,A,P Tierney,24,7,4,3,7,8,4,2,2,4,1,0,0,0,2,17,1,2,-2,1,-1,8,Aug
2022-08-20,Tottenham,Wolves,1,0,H,0,0,D,S Hooper,11,20,4,3,10,8,8,6,2,2,0,0,1,1,1,-9,1,2,0,0,2,8,Aug
2022-08-20,Crystal Palace,Aston Villa,3,1,H,1,1,D,A Madley,17,13,9,5,16,14,4,2,2,1,0,0,1,2,4,4,4,2,1,0,2,8,Aug
2022-08-20,Everton,Nott'm Forest,1,1,D,0,0,D,A Marriner,19,14,8,5,6,9,6,2,3,2,0,0,0,0,2,5,3,4,1,0,-3,8,Aug
2022-08-20,Fulham,Brentford,3,2,H,2,1,H,P Bankes,18,13,9,5,13,7,6,3,3,2,0,0,1,1,5,5,4,3,1,0,6,8,Aug
2022-08-20,Leicester,Southampton,1,2,A,0,0,D,M Salisbury,6,9,1,3,11,15,2,5,2,3,0,0,-1,-1,3,-3,-2,-3,-1,0,-4,8,Aug
2022-08-20,Bournemouth,Arsenal,0,3,A,0,2,A,C Pawson,6,14,1,6,12,10,3,4,2,1,0,0,-1,-3,3,-8,-5,-1,1,0,2,8,Aug
2022-08-21,Leeds,Chelsea,3,0,H,2,0,H,S Attwell,12,14,6,3,16,15,4,6,0,1,0,1,1,3,3,-2,3,-2,-1,-1,1,8,Aug
2022-08-21,West Ham,Brighton,0,2,A,0,1,A,A Taylor,13,11,3,2,10,7,5,4,2,0,0,0,-1,-2,2,2,1,1,2,0,3,8,Aug
2022-08-21,Newcastle,Man City,3,3,D,2,1,H,J Gillett,12,21,6,10,14,7,5,5,4,2,0,0,0,0,6,-9,-4,0,2,0,7,8,Aug
2022-08-22,Man United,Liverpool,2,1,H,1,0,H,M Oliver,12,17,4,5,11,7,6,8,3,1,0,0,1,1,3,-5,-1,-2,2,0,4,8,Aug
2022-08-27,Southampton,Man United,0,1,A,0,0,D,A Madley,17,11,5,6,4,14,5,3,0,3,0,0,-1,-1,1,6,-1,2,-3,0,-10,8,Aug
2022-08-27,Brentford,Everton,1,1,D,0,1,A,J Brooks,19,14,5,7,8,8,8,5,2,2,0,0,0,0,2,5,-2,3,0,0,0,8,Aug
2022-08-27,Brighton,Leeds,1,0,H,0,0,D,M Salisbury,13,10,4,2,10,14,5,3,2,3,0,0,1,1,1,3,2,2,-1,0,-4,8,Aug
2022-08-27,Chelsea,Leicester,2,1,H,0,0,D,P Tierney,7,17,3,5,10,7,3,11,1,2,1,0,1,1,3,-10,-2,-8,-1,1,3,8,Aug
2022-08-27,Liverpool,Bournemouth,9,0,H,5,0,H,S Attwell,19,5,12,2,6,5,8,1,0,1,0,0,1,9,9,14,10,7,-1,0,1,8,Aug
2022-08-27,Man City,Crystal Palace,4,2,H,0,2,A,D England,18,2,5,2,14,8,6,1,1,2,0,0,1,2,6,16,3,5,-1,0,6,8,Aug
2022-08-27,Arsenal,Fulham,2,1,H,0,0,D,J Gillett,22,11,8,3,6,12,9,2,2,3,0,0,1,1,3,11,5,7,-1,0,-6,8,Aug
2022-08-28,Aston Villa,West Ham,0,1,A,0,0,D,D Coote,9,7,3,2,10,10,3,2,2,0,0,0,-1,-1,1,2,1,1,2,0,0,8,Aug
2022-08-28,Wolves,Newcastle,1,1,D,1,0,H,P Bankes,10,21,4,6,10,11,4,13,2,1,0,0,0,0,2,-11,-2,-9,1,0,-1,8,Aug
2022-08-28,Nott'm Forest,Tottenham,0,2,A,0,1,A,C Pawson,17,18,1,7,11,13,6,1,6,1,0,0,-1,-2,2,-1,-6,5,5,0,-2,8,Aug
2022-08-30,Crystal Palace,Brentford,1,1,D,0,0,D,S Hooper,13,9,4,3,11,8,4,6,1,2,0,0,0,0,2,4,1,-2,-1,0,3,8,Aug
2022-08-30,Fulham,Brighton,2,1,H,0,0,D,T Bramall,10,7,3,4,9,11,3,3,2,1,0,0,1,1,3,3,-1,0,1,0,-2,8,Aug
2022-08-30,Southampton,Chelsea,2,1,H,2,1,H,M Oliver,9,10,7,4,15,10,5,3,2,1,0,0,1,1,3,-1,3,2,1,0,5,8,Aug
2022-08-30,Leeds,Everton,1,1,D,0,1,A,D England,14,7,5,2,10,9,10,2,3,3,0,0,0,0,2,7,3,8,0,0,1,8,Aug
2022-08-31,Arsenal,Aston Villa,2,1,H,1,0,H,R Jones,22,4,9,3,10,14,10,3,2,3,0,0,1,1,3,18,6,7,-1,0,-4,8,Aug
2022-08-31,Bournemouth,Wolves,0,0,D,0,0,D,A Taylor,5,17,2,4,12,12,2,5,2,1,0,0,0,0,0,-12,-2,-3,1,0,0,8,Aug
2022-08-31,Man City,Nott'm Forest,6,0,H,3,0,H,P Tierney,17,8,9,1,9,7,10,1,0,1,0,0,1,6,6,9,8,9,-1,0,2,8,Aug
2022-08-31,West Ham,Tottenham,1,1,D,0,1,A,P Bankes,14,13,4,4,10,9,3,4,2,5,0,0,0,0,2,1,0,-1,-3,0,1,8,Aug
2022-08-31,Liverpool,Newcastle,2,1,H,0,1,A,A Marriner,23,5,6,2,9,10,13,0,0,2,0,0,1,1,3,18,4,13,-2,0,-1,8,Aug
2022-09-01,Leicester,Man United,0,1,A,0,1,A,C Pawson,10,9,2,2,7,15,1,3,1,3,0,0,-1,-1,1,1,0,-2,-2,0,-8,9,Sep
2022-09-03,Everton,Liverpool,0,0,D,0,0,D,A Taylor,14,23,3,8,7,11,7,9,2,2,0,0,0,0,0,-9,-5,-2,0,0,-4,9,Sep
2022-09-03,Brentford,Leeds,5,2,H,2,1,H,R Jones,14,17,8,6,8,9,2,6,2,2,0,0,1,3,7,-3,2,-4,0,0,-1,9,Sep
2022-09-03,Chelsea,West Ham,2,1,H,0,0,D,A Madley,8,6,3,3,6,11,10,3,4,2,0,0,1,1,3,2,0,7,2,0,-5,9,Sep
2022-09-03,Newcastle,Crystal Palace,0,0,D,0,0,D,M Salisbury,23,19,6,9,19,12,13,5,2,1,0,0,0,0,0,4,-3,8,1,0,7,9,Sep
2022-09-03,Nott'm Forest,Bournemouth,2,3,A,2,0,H,M Oliver,11,8,3,3,13,10,4,6,2,1,0,0,-1,-1,5,3,0,-2,1,0,3,9,Sep
2022-09-03,Tottenham,Fulham,2,1,H,1,0,H,S Attwell,23,9,10,3,9,6,10,3,3,4,0,0,1,1,3,14,7,7,-1,0,3,9,Sep
2022-09-03,Wolves,Southampton,1,0,H,1,0,H,J Brooks,7,12,2,1,10,14,5,6,4,2,0,0,1,1,1,-5,1,-1,2,0,-4,9,Sep
2022-09-03,Aston Villa,Man City,1,1,D,0,0,D,S Hooper,3,13,1,4,7,6,1,4,2,0,0,0,0,0,2,-10,-3,-3,2,0,1,9,Sep
2022-09-04,Brighton,Leicester,5,2,H,2,2,D,T Harrington,23,6,11,4,6,8,10,1,1,1,0,0,1,3,7,17,7,9,0,0,-2,9,Sep
2022-09-04,Man United,Arsenal,3,1,H,1,0,H,P Tierney,10,16,6,3,13,9,2,5,3,3,0,0,1,2,4,-6,3,-3,0,0,4,9,Sep
2022-09-16,Aston Villa,Southampton,1,0,H,1,0,H,T Harrington,11,7,3,1,13,13,6,3,3,1,0,0,1,1,1,4,2,3,2,0,0,9,Sep
2022-09-16,Nott'm Forest,Fulham,2,3,A,1,0,H,J Gillett,11,15,3,7,11,10,2,10,2,4,0,0,-1,-1,5,-4,-4,-8,-2,0,1,9,Sep
2022-09-17,Wolves,Man City,0,3,A,0,2,A,A Taylor,6,16,1,7,7,9,5,7,2,1,1,0,-1,-3,3,-10,-6,-2,1,1,-2,9,Sep
2022-09-17,Newcastle,Bournemouth,1,1,D,0,0,D,C Pawson,20,10,7,3,10,11,8,1,2,2,0,0,0,0,2,10,4,7,0,0,-1,9,Sep
2022-09-17,Tottenham,Leicester,6,2,H,2,2,D,S Hooper,16,19,11,7,9,9,6,1,1,2,0,0,1,4,8,-3,4,5,-1,0,0,9,Sep
2022-09-18,Brentford,Arsenal,0,3,A,0,2,A,D Coote,5,13,2,7,10,10,3,3,0,2,0,0,-1,-3,3,-8,-5,0,-2,0,0,9,Sep
2022-09-18,Everton,West Ham,1,0,H,0,0,D,M Oliver,7,14,2,4,8,11,5,14,3,1,0,0,1,1,1,-7,-2,-9,2,0,-3,9,Sep
2022-10-01,Arsenal,Tottenham,3,1,H,1,1,D,A Taylor,22,7,9,3,10,10,5,2,2,1,0,1,1,2,4,15,6,3,1,-1,0,10,Oct
2022-10-01,Bournemouth,Brentford,0,0,D,0,0,D,T Bramall,7,13,1,4,11,10,7,8,1,2,0,0,0,0,0,-6,-3,-1,-1,0,1,10,Oct
2022-10-01,Crystal Palace,Chelsea,1,2,A,1,1,D,C Kavanagh,7,13,3,3,11,13,5,2,1,3,0,0,-1,-1,3,-6,0,3,-2,0,-2,10,Oct
2022-10-01,Fulham,Newcastle,1,4,A,0,3,A,D England,3,19,1,10,9,10,1,8,2,0,1,0,-1,-3,5,-16,-9,-7,2,1,-1,10,Oct
2022-10-01,Liverpool,Brighton,3,3,D,1,2,A,A Madley,15,6,7,6,9,13,9,2,1,1,0,0,0,0,6,9,1,7,0,0,-4,10,Oct
2022-10-01,Southampton,Everton,1,2,A,0,0,D,A Marriner,22,12,6,5,11,10,7,6,2,2,0,0,-1,-1,3,10,1,1,0,0,1,10,Oct
2022-10-01,West Ham,Wolves,2,0,H,1,0,H,P Tierney,18,15,5,4,8,6,1,6,2,2,0,0,1,2,2,3,1,-5,0,0,2,10,Oct
2022-10-02,Man City,Man United,6,3,H,4,0,H,M Oliver,22,12,10,8,3,9,5,1,0,3,0,0,1,3,9,10,2,4,-3,0,-6,10,Oct
2022-10-02,Leeds,Aston Villa,0,0,D,0,0,D,S Attwell,9,19,1,7,23,12,2,9,3,2,1,0,0,0,0,-10,-6,-7,1,1,11,10,Oct
2022-10-03,Leicester,Nott'm Forest,4,0,H,3,0,H,R Jones,17,10,7,3,13,12,6,6,2,4,0,0,1,4,4,7,4,0,-2,0,1,10,Oct
2022-10-08,Bournemouth,Leicester,2,1,H,0,1,A,M Salisbury,10,9,4,5,8,16,7,2,1,2,0,0,1,1,3,1,-1,5,-1,0,-8,10,Oct
2022-10-08,Chelsea,Wolves,3,0,H,1,0,H,S Hooper,20,8,7,2,8,8,4,2,2,0,0,0,1,3,3,12,5,2,2,0,0,10,Oct
2022-10-08,Man City,Southampton,4,0,H,2,0,H,A Madley,21,5,8,0,4,8,9,1,0,1,0,0,1,4,4,16,8,8,-1,0,-4,10,Oct
2022-10-08,Newcastle,Brentford,5,1,H,2,0,H,J Brooks,16,6,6,3,14,9,9,5,0,1,0,0,1,4,6,10,3,4,-1,0,5,10,Oct
2022-10-08,Brighton,Tottenham,0,1,A,0,1,A,T Harrington,14,8,4,3,9,14,6,2,1,2,0,0,-1,-1,1,6,1,4,-1,0,-5,10,Oct
2022-10-09,Crystal Palace,Leeds,2,1,H,1,1,D,P Tierney,13,10,5,4,13,23,5,3,3,3,0,0,1,1,3,3,1,2,0,0,-10,10,Oct
2022-10-09,West Ham,Fulham,3,1,H,1,1,D,C Kavanagh,17,8,8,2,9,7,4,2,1,3,0,0,1,2,4,9,6,2,-2,0,2,10,Oct
2022-10-09,Arsenal,Liverpool,3,2,H,2,1,H,M Oliver,11,8,7,3,11,11,4,3,1,2,0,0,1,1,5,3,4,1,-1,0,0,10,Oct
2022-10-09,Everton,Man United,1,2,A,1,2,A,D Coote,11,12,2,4,7,13,5,4,2,1,0,0,-1,-1,3,-1,-2,1,1,0,-6,10,Oct
2022-10-10,Nott'm Forest,Aston Villa,1,1,D,1,1,D,A Taylor,6,12,3,2,13,19,1,4,3,3,0,0,0,0,2,-6,1,-3,0,0,-6,10,Oct
2022-10-14,Brentford,Brighton,2,0,H,1,0,H,M Salisbury,7,21,3,7,12,15,2,11,3,1,0,0,1,2,2,-14,-4,-9,2,0,-3,10,Oct
2022-10-15,Leicester,Crystal Palace,0,0,D,0,0,D,A Madley,14,8,5,1,18,13,9,2,2,2,0,0,0,0,0,6,4,7,0,0,5,10,Oct
2022-10-15,Fulham,Bournemouth,2,2,D,1,2,A,G Scott,19,10,4,6,9,11,5,6,2,0,0,0,0,0,4,9,-2,-1,2,0,-2,10,Oct
2022-10-15,Wolves,Nott'm Forest,1,0,H,0,0,D,T Bramall,9,10,2,2,17,13,4,5,2,2,0,0,1,1,1,-1,0,-1,0,0,4,10,Oct
2022-10-15,Tottenham,Everton,2,0,H,0,0,D,P Tierney,21,4,7,0,12,13,7,1,1,4,0,0,1,2,2,17,7,6,-3,0,-1,10,Oct
2022-10-16,Aston Villa,Chelsea,0,2,A,0,1,A,R Jones,18,8,7,4,12,11,7,1,0,3,0,0,-1,-2,2,10,3,6,-3,0,1,10,Oct
2022-10-16,Leeds,Arsenal,0,1,A,0,1,A,C Kavanagh,16,9,4,4,10,11,6,3,0,2,0,0,-1,-1,1,7,0,3,-2,0,-1,10,Oct
2022-10-16,Man United,Newcastle,0,0,D,0,0,D,C Pawson,15,9,2,2,13,11,4,4,3,1,0,0,0,0,0,6,0,0,2,0,2,10,Oct
2022-10-16,Southampton,West Ham,1,1,D,1,0,H,P Bankes,10,25,8,4,7,3,4,14,1,1,0,0,0,0,2,-15,4,-10,0,0,4,10,Oct
2022-10-16,Liverpool,Man City,1,0,H,0,0,D,A Taylor,13,16,2,6,10,7,5,6,3,1,0,0,1,1,1,-3,-4,-1,2,0,3,10,Oct
2022-10-18,Brighton,Nott'm Forest,0,0,D,0,0,D,D England,19,3,7,0,10,14,9,1,3,1,0,0,0,0,0,16,7,8,2,0,-4,10,Oct
2022-10-18,Crystal Palace,Wolves,2,1,H,0,1,A,D Coote,14,10,4,4,14,18,4,3,3,1,0,0,1,1,3,4,0,1,2,0,-4,10,Oct
2022-10-19,Bournemouth,Southampton,0,1,A,0,1,A,J Brooks,15,9,3,3,8,13,7,3,1,3,0,0,-1,-1,1,6,0,4,-2,0,-5,10,Oct
2022-10-19,Brentford,Chelsea,0,0,D,0,0,D,J Gillett,8,14,5,5,7,7,6,2,0,0,0,0,0,0,0,-6,0,4,0,0,0,10,Oct
2022-10-19,Liverpool,West Ham,1,0,H,1,0,H,S Attwell,22,8,7,3,9,8,8,3,0,0,0,0,1,1,1,14,4,5,0,0,1,10,Oct
2022-10-19,Newcastle,Everton,1,0,H,1,0,H,T Harrington,16,1,4,0,9,12,8,2,2,4,0,0,1,1,1,15,4,6,-2,0,-3,10,Oct
2022-10-19,Man United,Tottenham,2,0,H,0,0,D,S Hooper,28,9,10,2,7,7,8,3,1,0,0,0,1,2,2,19,8,5,1,0,0,10,Oct
2022-10-20,Fulham,Aston Villa,3,0,H,1,0,H,M Oliver,18,12,8,6,11,11,9,7,0,2,0,1,1,3,3,6,2,2,-2,-1,0,10,Oct
2022-10-20,Leicester,Leeds,2,0,H,2,0,H,P Bankes,5,14,1,2,15,11,2,9,2,1,0,0,1,2,2,-9,-1,-7,1,0,4,10,Oct
2022-10-22,Nott'm Forest,Liverpool,1,0,H,0,0,D,P Tierney,10,15,7,7,14,8,2,11,2,1,0,0,1,1,1,-5,0,-9,1,0,6,10,Oct
2022-10-22,Everton,Crystal Palace,3,0,H,1,0,H,S Hooper,9,9,6,2,16,14,3,4,3,4,0,0,1,3,3,0,4,-1,-1,0,2,10,Oct
2022-10-22,Man City,Brighton,3,1,H,2,0,H,C Pawson,10,8,4,2,11,12,7,3,1,3,0,0,1,2,4,2,2,4,-2,0,-1,10,Oct
2022-10-22,Chelsea,Man United,1,1,D,0,0,D,S Attwell,6,13,2,6,8,10,6,4,1,4,0,0,0,0,2,-7,-4,2,-3,0,-2,10,Oct
2022-10-23,Aston Villa,Brentford,4,0,H,3,0,H,D England,19,12,11,3,14,11,7,6,1,0,0,0,1,4,4,7,8,1,1,0,3,10,Oct
2022-10-23,Leeds,Fulham,2,3,A,1,1,D,A Taylor,14,11,5,5,12,8,3,6,1,1,0,0,-1,-1,5,3,0,-3,0,0,4,10,Oct
2022-10-23,Southampton,Arsenal,1,1,D,0,1,A,R Jones,10,12,3,3,11,8,9,4,2,1,0,0,0,0,2,-2,0,5,1,0,3,10,Oct
2022-10-23,Wolves,Leicester,0,4,A,0,2,A,M Oliver,21,5,5,4,10,13,9,2,2,1,0,0,-1,-4,4,16,1,7,1,0,-3,10,Oct
2022-10-23,Tottenham,Newcastle,1,2,A,0,2,A,J Gillett,17,13,5,5,12,6,6,7,4,2,0,0,-1,-1,3,4,0,-1,2,0,6,10,Oct
2022-10-24,West Ham,Bournemouth,2,0,H,1,0,H,D Coote,20,5,4,3,9,11,5,0,0,2,0,0,1,2,2,15,1,5,-2,0,-2,10,Oct
2022-10-29,Leicester,Man City,0,1,A,0,0,D,R Jones,10,15,5,5,5,10,3,10,0,0,0,0,-1,-1,1,-5,0,-7,0,0,-5,10,Oct
2022-10-29,Bournemouth,Tottenham,2,3,A,1,0,H,A Taylor,6,23,4,7,10,5,2,19,1,2,0,0,-1,-1,5,-17,-3,-17,-1,0,5,10,Oct
2022-10-29,Brentford,Wolves,1,1,D,0,0,D,R Madley,12,14,3,4,10,17,3,6,3,3,0,1,0,0,2,-2,-1,-3,0,-1,-7,10,Oct
2022-10-29,Brighton,Chelsea,4,1,H,3,0,H,A Madley,19,15,9,7,16,6,8,7,1,2,0,0,1,3,5,4,2,1,-1,0,10,10,Oct
2022-10-29,Crystal Palace,Southampton,1,0,H,1,0,H,M Salisbury,12,14,3,4,13,12,8,4,3,3,0,0,1,1,1,-2,-1,4,0,0,1,10,Oct
2022-10-29,Newcastle,Aston Villa,4,0,H,1,0,H,P Tierney,20,3,7,0,11,11,3,0,1,1,0,0,1,4,4,17,7,3,0,0,0,10,Oct
2022-10-29,Fulham,Everton,0,0,D,0,0,D,J Brooks,24,9,6,4,10,8,13,4,2,1,0,0,0,0,0,15,2,9,1,0,2,10,Oct
2022-10-29,Liverpool,Leeds,1,2,A,1,1,D,M Oliver,22,14,10,6,9,3,14,5,0,1,0,0,-1,-1,3,8,4,9,-1,0,6,10,Oct
2022-10-30,Arsenal,Nott'm Forest,5,0,H,1,0,H,S Hooper,24,5,10,2,9,8,9,4,0,1,0,0,1,5,5,19,8,5,-1,0,1,10,Oct
2022-10-30,Man United,West Ham,1,0,H,1,0,H,C Kavanagh,16,13,3,5,12,10,5,10,1,3,0,0,1,1,1,3,-2,-5,-2,0,2,10,Oct
2022-11-05,Leeds,Bournemouth,4,3,H,1,2,A,T Harrington,18,9,4,6,16,10,13,3,2,2,0,0,1,1,7,9,-2,10,0,0,6,11,Nov
2022-11-05,Man City,Fulham,2,1,H,1,1,D,D England,16,4,5,2,6,11,9,0,2,4,1,0,1,1,3,12,3,9,-2,1,-5,11,Nov
2022-11-05,Nott'm Forest,Brentford,2,2,D,1,1,D,A Marriner,15,6,7,2,10,11,3,3,2,2,0,0,0,0,4,9,5,0,0,0,-1,11,Nov
2022-11-05,Wolves,Brighton,2,3,A,2,2,D,G Scott,8,19,5,8,15,11,4,9,2,0,1,0,-1,-1,5,-11,-3,-5,2,1,4,11,Nov
2022-11-05,Everton,Leicester,0,2,A,0,1,A,D Coote,12,22,2,8,9,5,8,3,0,0,0,0,-1,-2,2,-10,-6,5,0,0,4,11,Nov
2022-11-06,Chelsea,Arsenal,0,1,A,0,0,D,M Oliver,5,14,1,2,20,13,4,6,5,2,0,0,-1,-1,1,-9,-1,-2,3,0,7,11,Nov
2022-11-06,Aston Villa,Man United,3,1,H,2,1,H,A Taylor,6,8,4,3,6,12,3,5,3,3,0,0,1,2,4,-2,1,-2,0,0,-6,11,Nov
2022-11-06,Southampton,Newcastle,1,4,A,0,1,A,S Attwell,16,7,5,4,7,10,8,2,1,0,0,0,-1,-3,5,9,1,6,1,0,-3,11,Nov
2022-11-06,West Ham,Crystal Palace,1,2,A,1,1,D,P Tierney,5,15,2,6,10,7,2,5,1,1,0,0,-1,-1,3,-10,-4,-3,0,0,3,11,Nov
2022-11-06,Tottenham,Liverpool,1,2,A,0,2,A,A Madley,14,13,5,6,10,8,5,3,0,0,0,0,-1,-1,3,1,-1,2,0,0,2,11,Nov
2022-11-12,Man City,Brentford,1,2,A,1,1,D,P Bankes,29,10,6,8,9,7,10,2,2,2,0,0,-1,-1,3,19,-2,8,0,0,2,11,Nov
2022-11-12,Bournemouth,Everton,3,0,H,2,0,H,C Pawson,16,15,9,3,12,8,3,5,2,0,0,0,1,3,3,1,6,-2,2,0,4,11,Nov
2022-11-12,Liverpool,Southampton,3,1,H,3,1,H,S Hooper,15,9,7,5,8,8,6,0,0,2,0,0,1,2,4,6,2,6,-2,0,0,11,Nov
2022-11-12,Nott'm Forest,Crystal Palace,1,0,H,0,0,D,J Brooks,9,8,2,0,11,13,1,5,1,4,0,0,1,1,1,1,2,-4,-3,0,-2,11,Nov
2022-11-12,Tottenham,Leeds,4,3,H,1,2,A,M Salisbury,14,12,8,5,8,7,9,2,1,1,0,1,1,1,7,2,3,7,0,-1,1,11,Nov
2022-11-12,West Ham,Leicester,0,2,A,0,1,A,J Gillett,18,9,6,6,9,8,7,2,3,1,0,0,-1,-2,2,9,0,5,2,0,1,11,Nov
2022-11-12,Newcastle,Chelsea,1,0,H,0,0,D,R Jones,10,5,3,2,14,11,5,3,3,2,0,0,1,1,1,5,1,2,1,0,3,11,Nov
2022-11-12,Wolves,Arsenal,0,2,A,0,0,D,S Attwell,11,14,2,4,5,6,6,4,3,2,0,0,-1,-2,2,-3,-2,2,1,0,-1,11,Nov
2022-11-13,Brighton,Aston Villa,1,2,A,1,1,D,C Kavanagh,7,8,2,2,14,11,11,4,2,7,0,0,-1,-1,3,-1,0,7,-5,0,3,11,Nov
2022-11-13,Fulham,Man United,1,2,A,0,1,A,P Tierney,14,14,7,9,9,10,10,3,1,1,0,0,-1,-1,3,0,-2,7,0,0,-1,11,Nov
2022-12-26,Brentford,Tottenham,2,2,D,1,0,H,D Coote,9,16,5,8,11,10,6,5,3,1,0,0,0,0,4,-7,-3,1,2,0,1,12,Dec
2022-12-26,Crystal Palace,Fulham,0,3,A,0,1,A,A Madley,4,23,0,11,12,15,1,8,0,0,2,0,-1,-3,3,-19,-11,-7,0,2,-3,12,Dec
2022-12-26,Everton,Wolves,1,2,A,1,1,D,C Pawson,12,7,6,4,9,22,2,2,1,6,0,0,-1,-1,3,5,2,0,-5,0,-13,12,Dec
2022-12-26,Leicester,Newcastle,0,3,A,0,3,A,J Gillett,8,12,2,5,9,6,5,5,0,0,0,0,-1,-3,3,-4,-3,0,0,0,3,12,Dec
2022-12-26,Southampton,Brighton,1,3,A,0,2,A,R Jones,14,7,4,4,9,10,4,2,1,2,0,0,-1,-2,4,7,0,2,-1,0,-1,12,Dec
2022-12-26,Aston Villa,Liverpool,1,3,A,0,2,A,P Tierney,12,16,6,9,7,12,0,6,0,0,0,0,-1,-2,4,-4,-3,-6,0,0,-5,12,Dec
2022-12-26,Arsenal,West Ham,3,1,H,0,1,A,M Oliver,16,8,5,4,13,17,7,5,0,2,0,0,1,2,4,8,1,2,-2,0,-4,12,Dec
2022-12-27,Chelsea,Bournemouth,2,0,H,2,0,H,S Hooper,15,9,5,4,8,10,6,8,0,0,0,0,1,2,2,6,1,-2,0,0,-2,12,Dec
2022-12-27,Man United,Nott'm Forest,3,0,H,2,0,H,A Taylor,17,8,8,3,13,4,9,9,3,1,0,0,1,3,3,9,5,0,2,0,9,12,Dec
2022-12-28,Leeds,Man City,1,3,A,0,1,A,S Attwell,9,26,1,9,11,14,3,5,3,3,0,0,-1,-2,4,-17,-8,-2,0,0,-3,12,Dec
